country,date,new_cases,total_cases,new_deaths,total_deaths,weekly_cases,weekly_deaths,weekly_pct_growth_cases,weekly_pct_growth_deaths,biweekly_cases,biweekly_deaths,biweekly_pct_growth_cases,biweekly_pct_growth_deaths,new_cases_per_million,new_deaths_per_million,total_cases_per_million,total_deaths_per_million,weekly_cases_per_million,weekly_deaths_per_million,biweekly_cases_per_million,biweekly_deaths_per_million,total_deaths_per_100k,new_deaths_per_100k,new_cases_7_day_avg_right,new_deaths_7_day_avg_right,new_cases_per_million_7_day_avg_right,new_deaths_per_million_7_day_avg_right,new_deaths_per_100k_7_day_avg_right,cfr,cfr_100_cases,cfr_short_term,days_since_100_total_cases,days_since_5_total_deaths,days_since_1_total_cases_per_million,days_since_0_1_total_deaths_per_million,days_since_100_total_cases_and_5m_pop,total_deaths_last12m,total_deaths_per_100k_last12m,total_deaths_per_million_last12m
Spain,2020-01-04,0.0,0,0.0,0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,-57.0,-64.0,-57.0,-64.0,-57.0,,,
Spain,2020-01-05,0.0,0,0.0,0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,-56.0,-63.0,-56.0,-63.0,-56.0,,,
Spain,2020-01-06,0.0,0,0.0,0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,-55.0,-62.0,-55.0,-62.0,-55.0,,,
Spain,2020-01-07,0.0,0,0.0,0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,-54.0,-61.0,-54.0,-61.0,-54.0,,,
Spain,2020-01-08,0.0,0,0.0,0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,-53.0,-60.0,-53.0,-60.0,-53.0,,,
Spain,2020-01-09,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-52.0,-59.0,-52.0,-59.0,-52.0,,,
Spain,2020-01-10,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-51.0,-58.0,-51.0,-58.0,-51.0,,,
Spain,2020-01-11,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-50.0,-57.0,-50.0,-57.0,-50.0,,,
Spain,2020-01-12,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-49.0,-56.0,-49.0,-56.0,-49.0,,,
Spain,2020-01-13,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-48.0,-55.0,-48.0,-55.0,-48.0,,,
Spain,2020-01-14,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-47.0,-54.0,-47.0,-54.0,-47.0,,,
Spain,2020-01-15,0.0,0,0.0,0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-46.0,-53.0,-46.0,-53.0,-46.0,,,
