country,country_code,date,daily_occupancy_icu,daily_occupancy_icu_per_1m,daily_occupancy_hosp,daily_occupancy_hosp_per_1m,weekly_admissions_icu,weekly_admissions_icu_per_1m,weekly_admissions_hosp,weekly_admissions_hosp_per_1m
Spain,ESP,2020-08-01,250.0,5.257,2083.0,43.799,,,,
Spain,ESP,2020-08-02,282.0,5.93,2325.0,48.887,,,,
Spain,ESP,2020-08-03,293.0,6.161,2370.0,49.833,,,,
Spain,ESP,2020-08-04,311.0,6.539,2405.0,50.569,,,,
Spain,ESP,2020-08-05,307.0,6.455,2514.0,52.861,,,,
Spain,ESP,2020-08-06,323.0,6.792,2756.0,57.95,,,,
Spain,ESP,2020-08-07,341.0,7.17,2659.0,55.91,267.0,5.614,2768.0,58.202
Spain,ESP,2020-08-08,340.0,7.149,2630.0,55.3,282.0,5.93,2830.0,59.505
Spain,ESP,2020-08-09,378.0,7.948,3084.0,64.846,279.0,5.866,2879.0,60.536
Spain,ESP,2020-08-10,370.0,7.78,2975.0,62.554,285.0,5.993,3033.0,63.774
Spain,ESP,2020-08-11,402.0,8.453,3054.0,64.215,301.0,6.329,3212.0,67.538
Spain,ESP,2020-08-12,415.0,8.726,3203.0,67.348,318.0,6.686,3339.0,70.208
Spain,ESP,2020-08-13,438.0,9.21,3319.0,69.788,325.0,6.834,3508.0,73.762
Spain,ESP,2020-08-14,455.0,9.567,3346.0,70.355,337.0,7.086,3690.0,77.588
Spain,ESP,2020-08-15,457.0,9.609,3409.0,71.68,346.0,7.275,3862.0,81.205
Spain,ESP,2020-08-16,494.0,10.387,3842.0,80.784,359.0,7.549,4002.0,84.149
Spain,ESP,2020-08-17,511.0,10.745,4190.0,88.102,378.0,7.948,4134.0,86.924
Spain,ESP,2020-08-18,531.0,11.165,4157.0,87.408,399.0,8.39,4296.0,90.331
Spain,ESP,2020-08-19,547.0,11.502,4292.0,90.246,422.0,8.873,4460.0,93.779
Spain,ESP,2020-08-20,572.0,12.027,4354.0,91.55,428.0,8.999,4610.0,96.933
Spain,ESP,2020-08-21,600.0,12.616,4340.0,91.256,441.0,9.273,4755.0,99.982
Spain,ESP,2020-08-22,610.0,12.826,4405.0,92.623,452.0,9.504,4892.0,102.863
Spain,ESP,2020-08-23,675.0,14.193,4964.0,104.376,484.0,10.177,4987.0,104.86
