country,age_group,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Spain,10-14,2021-01-08,0.0,0.0,0.0
Spain,10-14,2021-01-15,0.0,0.0,0.0
Spain,10-14,2021-01-22,0.0,0.0,0.0
Spain,10-14,2021-01-29,0.0,0.0,0.0
Spain,10-14,2021-02-05,0.0,0.0,0.0
Spain,10-14,2021-02-12,0.0,0.0,0.0
Spain,10-14,2021-02-19,0.0,0.0,0.0
Spain,10-14,2021-02-26,0.0,0.0,0.0
Spain,10-14,2021-03-05,0.0,0.0,0.0
Spain,10-14,2021-03-12,0.0,0.0,0.0
Spain,10-14,2021-03-19,0.0,0.0,0.0
Spain,10-14,2021-03-26,0.0,0.0,0.0
Spain,10-14,2021-04-02,0.0,0.0,0.0
Spain,10-14,2021-04-09,0.01,0.0,0.0
Spain,10-14,2021-04-16,0.01,0.0,0.0
Spain,10-14,2021-04-23,0.01,0.0,0.0
Spain,10-14,2021-04-30,0.01,0.0,0.0
Spain,10-14,2021-05-07,0.01,0.0,0.0
Spain,10-14,2021-05-14,0.01,0.0,0.0
Spain,10-14,2021-05-21,0.01,0.0,0.0
Spain,10-14,2021-05-28,0.01,0.0,0.0
Spain,10-14,2021-06-04,0.02,0.01,0.0
Spain,10-14,2021-06-11,0.03,0.01,0.0
Spain,10-14,2021-06-18,0.04,0.01,0.0
Spain,10-14,2021-06-25,0.05,0.01,0.0
Spain,10-14,2021-07-02,0.08,0.01,0.0
Spain,10-14,2021-07-09,0.12,0.03,0.0
Spain,10-14,2021-07-16,0.17,0.04,0.0
Spain,10-14,2021-07-23,0.25,0.07,0.0
Spain,10-14,2021-07-30,1.14,0.1,0.0
Spain,10-14,2021-08-06,5.16,0.14,0.0
Spain,10-14,2021-08-13,14.9,0.21,0.0
Spain,10-14,2021-08-20,27.25,0.8,0.0
Spain,10-14,2021-08-27,35.91,3.95,0.0
Spain,10-14,2021-09-03,40.66,12.08,0.0
Spain,10-14,2021-09-10,43.48,23.17,0.0
Spain,10-14,2021-09-17,44.71,31.49,0.0
Spain,10-14,2021-09-24,45.5,35.82,0.01
Spain,10-14,2021-10-01,46.06,38.48,0.01
Spain,10-14,2021-10-08,46.46,39.58,0.02
Spain,10-14,2021-10-15,46.8,40.26,0.02
Spain,10-14,2021-10-22,47.17,40.81,0.03
Spain,10-14,2021-10-29,47.53,41.19,0.03
Spain,10-14,2021-11-05,47.83,41.47,0.04
Spain,10-14,2021-11-12,48.18,41.76,0.04
Spain,10-14,2021-11-19,48.56,42.06,0.05
Spain,10-14,2021-11-26,49.01,42.32,0.06
Spain,10-14,2021-12-03,49.54,42.61,0.07
Spain,10-14,2021-12-10,49.93,42.9,0.08
Spain,10-14,2021-12-17,62.16,43.25,0.09
Spain,10-14,2021-12-24,70.28,43.56,0.1
Spain,10-14,2021-12-31,73.49,43.83,0.11
Spain,10-14,2022-01-07,76.91,44.11,0.12
Spain,10-14,2022-01-14,79.78,44.52,0.12
Spain,10-14,2022-01-21,81.57,44.83,0.13
Spain,10-14,2022-01-28,82.37,45.08,0.14
Spain,10-14,2022-02-04,82.72,45.28,0.15
Spain,10-14,2022-02-11,83.04,53.42,0.17
Spain,10-14,2022-02-18,83.38,60.76,0.18
Spain,10-14,2022-02-25,83.6,63.46,0.19
Spain,10-14,2022-03-04,83.8,65.71,0.2
Spain,10-14,2022-03-11,84.0,67.9,0.21
Spain,10-14,2022-03-18,84.17,69.62,0.21
Spain,10-14,2022-03-25,84.33,71.11,0.22
Spain,10-14,2022-04-01,84.45,72.14,0.23
Spain,10-14,2022-04-08,84.54,72.89,0.24
Spain,10-14,2022-04-15,84.6,73.21,0.25
Spain,10-14,2022-04-22,84.69,73.71,0.25
Spain,10-14,2022-04-29,84.76,74.08,0.26
Spain,10-14,2022-05-06,84.81,74.29,0.26
Spain,10-14,2022-05-13,84.87,74.51,0.27
Spain,10-14,2022-05-20,84.93,74.69,0.28
Spain,10-14,2022-05-27,84.99,74.86,0.29
Spain,10-14,2022-06-03,85.04,74.99,0.3
Spain,10-14,2022-06-10,85.08,75.1,0.32
Spain,10-14,2022-06-17,85.11,75.21,0.33
Spain,10-14,2022-06-24,85.15,75.31,0.35
Spain,10-14,2022-07-01,85.19,75.43,0.36
Spain,10-14,2022-07-08,85.22,75.53,0.38
Spain,10-14,2022-07-15,85.25,75.61,0.4
